
==== DECODER PARAMETERS ====
Moving model to cuda... Done.
{'model': {'class': <class 'src.gnn_models.GNN_7'>, 'num_node_features': 5, 'num_classes': 1, 'loss': BCEWithLogitsLoss(), 'initial_learning_rate': 0.0001, 'manual_seed': 12345}, 'graph': {'m_nearest_nodes': 6, 'num_node_features': 5, 'power': 2.0}, 'cuda': True, 'silent': False, 'save_path': '/hpc/home/giuseppe.trimigno/GNN_decoder/results/circuit_level_noise/d5', 'save_prefix': 'd5_d_t_5_norep', 'resumed_training_file_name': None}
Code size: 5

Repetitions: 5

Training error rate: [0.001, 0.002, 0.003, 0.004, 0.005]


==== TRAINING ====
Will save final results to file after training.
Generating data with 48 CPU cores, then moving it to device cuda.
Starting training with 150 iteration(s).
Buffer has 5000000 samples, replacing 0 samples with each iteration.
Total number of unique samples in this run: 5.00e+06
Data correctly red. Elapsed time: 1280.8040323257446s
******************************
len(training_data)=5000000 ; len(validation_data)=50000
******************************
Iteration: 027	Loss: 0.0362	Acc: 0.9854	Validation Acc: 0.9842	Validation Loss: 0.0421	Cumulative # of training samples: 1.35e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch27
Iteration: 028	Loss: 0.0351	Acc: 0.9858	Validation Acc: 0.9842	Validation Loss: 0.0399	Cumulative # of training samples: 1.40e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch28
Iteration: 029	Loss: 0.0342	Acc: 0.9862	Validation Acc: 0.9843	Validation Loss: 0.0403	Cumulative # of training samples: 1.45e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch29
Iteration: 030	Loss: 0.0334	Acc: 0.9865	Validation Acc: 0.9848	Validation Loss: 0.0396	Cumulative # of training samples: 1.50e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch30
Iteration: 031	Loss: 0.0324	Acc: 0.9869	Validation Acc: 0.9846	Validation Loss: 0.0412	Cumulative # of training samples: 1.55e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch31
Iteration: 032	Loss: 0.0316	Acc: 0.9872	Validation Acc: 0.9851	Validation Loss: 0.0393	Cumulative # of training samples: 1.60e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch32
Iteration: 033	Loss: 0.0308	Acc: 0.9876	Validation Acc: 0.9853	Validation Loss: 0.0391	Cumulative # of training samples: 1.65e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch33
Iteration: 034	Loss: 0.0300	Acc: 0.9879	Validation Acc: 0.9858	Validation Loss: 0.0385	Cumulative # of training samples: 1.70e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch34
Iteration: 035	Loss: 0.0293	Acc: 0.9882	Validation Acc: 0.9857	Validation Loss: 0.0389	Cumulative # of training samples: 1.75e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch35
Iteration: 036	Loss: 0.0287	Acc: 0.9885	Validation Acc: 0.9856	Validation Loss: 0.0393	Cumulative # of training samples: 1.80e+08	. Saving model... Model successfully saved in d5_d_t_5_norep_epoch36
